unit,parameter,type,mean,sd
asu,iat,stroke,1.2,NA
asu,iat,tia,9.3,NA
asu,iat,neuro,3.6,NA
asu,iat,other,3.2,NA
rehab,iat,stroke,21.8,NA
rehab,iat,neuro,31.7,NA
rehab,iat,other,28.6,NA
asu,los,stroke_no_esd,7.4,8.61
asu,los,stroke_esd,4.6,4.8
asu,los,tia,1.8,2.3
asu,los,neuro,4,5
asu,los,other,3.8,5.2
rehab,los,stroke_no_esd,28.4,27.2
rehab,los,stroke_esd,30.3,2un3.1
rehab,los,tia,18.7,23.5
rehab,los,neuro,27.6,28.4
rehab,los,other,16.1,14.1
asu,routing,stroke_rehab,0.24,NA
asu,routing,stroke_esd,0.13,NA
asu,routing,stroke_other,0.63,NA
asu,routing,tia_rehab,0.01,NA
asu,routing,tia_esd,0.01,NA
asu,routing,tia_other,0.98,NA
asu,routing,neuro_rehab,0.11,NA
asu,routing,neuro_esd,0.05,NA
asu,routing,neuro_other,0.84,NA
asu,routing,other_rehab,0.05,NA
asu,routing,other_esd,0.1,NA
asu,routing,other_other,0.85,NA
rehab,routing,stroke_esd,0.4,NA
rehab,routing,stroke_other,0.6,NA
rehab,routing,tia_esd,0,NA
rehab,routing,tia_other,1,NA
rehab,routing,neuro_esd,0.09,NA
rehab,routing,neuro_other,0.91,NA
rehab,routing,other_esd,0.13,NA
rehab,routing,other_other,0.88,NA
