Parameters:
patient_inter=6; mean_n_consult_time=8; number_of_nurses=1; warm_up_period=0; data_collection_period=30; number_of_runs=1; scenario_name=NULL; cores=1; log_to_console=TRUE; log_to_file=TRUE; file_path=../outputs/logs/log_example.log
Log:
         0 |    source: patient          |       new: patient0         | 1.10422
   1.10422 |   arrival: patient0         |  activity: SetAttribute     | [nurse_queue_on_arrival], function(), 0, N, 0
   1.10422 |   arrival: patient0         |  activity: Seize            | nurse, 1, 0 paths
   1.10422 |  resource: nurse            |   arrival: patient0         | SERVE
   1.10422 |   arrival: patient0         |  activity: SetAttribute     | [nurse_serve_start], function(), 0, N, 0
   1.10422 |   arrival: patient0         |  activity: SetAttribute     | [nurse_serve_length], function(), 0, N, 0
   1.10422 |    source: patient          |       new: patient1         | 1.94299
   1.10422 |   arrival: patient0         |  activity: Timeout          | function()
   1.94299 |   arrival: patient1         |  activity: SetAttribute     | [nurse_queue_on_arrival], function(), 0, N, 0
   1.94299 |   arrival: patient1         |  activity: Seize            | nurse, 1, 0 paths
   1.94299 |  resource: nurse            |   arrival: patient1         | ENQUEUE
   1.94299 |    source: patient          |       new: patient2         | 4.5594
   2.26987 |   arrival: patient0         |  activity: Release          | nurse, 1
   2.26987 |  resource: nurse            |   arrival: patient0         | DEPART
   2.26987 |      task: Post-Release     |          :                  | 
   2.26987 |  resource: nurse            |   arrival: patient1         | SERVE
   2.26987 |   arrival: patient1         |  activity: SetAttribute     | [nurse_serve_start], function(), 0, N, 0
   2.26987 |   arrival: patient1         |  activity: SetAttribute     | [nurse_serve_length], function(), 0, N, 0
   2.26987 |   arrival: patient1         |  activity: Timeout          | function()
    4.5594 |   arrival: patient2         |  activity: SetAttribute     | [nurse_queue_on_arrival], function(), 0, N, 0
    4.5594 |   arrival: patient2         |  activity: Seize            | nurse, 1, 0 paths
    4.5594 |  resource: nurse            |   arrival: patient2         | ENQUEUE
    4.5594 |    source: patient          |       new: patient3         | 11.9368
   11.9368 |   arrival: patient3         |  activity: SetAttribute     | [nurse_queue_on_arrival], function(), 0, N, 0
   11.9368 |   arrival: patient3         |  activity: Seize            | nurse, 1, 0 paths
   11.9368 |  resource: nurse            |   arrival: patient3         | ENQUEUE
   11.9368 |    source: patient          |       new: patient4         | 15.1749
   15.1749 |   arrival: patient4         |  activity: SetAttribute     | [nurse_queue_on_arrival], function(), 0, N, 0
   15.1749 |   arrival: patient4         |  activity: Seize            | nurse, 1, 0 paths
   15.1749 |  resource: nurse            |   arrival: patient4         | ENQUEUE
   15.1749 |    source: patient          |       new: patient5         | 20.9143
   20.9143 |   arrival: patient5         |  activity: SetAttribute     | [nurse_queue_on_arrival], function(), 0, N, 0
   20.9143 |   arrival: patient5         |  activity: Seize            | nurse, 1, 0 paths
   20.9143 |  resource: nurse            |   arrival: patient5         | ENQUEUE
   20.9143 |    source: patient          |       new: patient6         | 21.7966
   21.7966 |   arrival: patient6         |  activity: SetAttribute     | [nurse_queue_on_arrival], function(), 0, N, 0
   21.7966 |   arrival: patient6         |  activity: Seize            | nurse, 1, 0 paths
   21.7966 |  resource: nurse            |   arrival: patient6         | ENQUEUE
   21.7966 |    source: patient          |       new: patient7         | 30.141
   25.4296 |   arrival: patient1         |  activity: Release          | nurse, 1
   25.4296 |  resource: nurse            |   arrival: patient1         | DEPART
   25.4296 |      task: Post-Release     |          :                  | 
   25.4296 |  resource: nurse            |   arrival: patient2         | SERVE
   25.4296 |   arrival: patient2         |  activity: SetAttribute     | [nurse_serve_start], function(), 0, N, 0
   25.4296 |   arrival: patient2         |  activity: SetAttribute     | [nurse_serve_length], function(), 0, N, 0
   25.4296 |   arrival: patient2         |  activity: Timeout          | function()
